K,lam1,lam2,w1,w2,SSE,SSE%,rise_time
0.01,1.005,1.005,0.505,0.001,-0.026180685,2.618068457,12.35
0.176,1.005,1.005,0.505,0.001,-0.011637413,1.163741341,8.2
0.342,1.005,1.005,0.505,0.001,-0.018909064,1.890906366,8
0.509,1.005,1.005,0.505,0.001,-0.005276073,0.527607288,6.25
0.675,1.005,1.005,0.505,0.001,-0.007355805,0.735580456,11.05
0.841,1.005,1.005,0.505,0.001,-0.005812961,0.581296119,9.25
1.008,1.005,1.005,0.505,0.001,0.007377432,0.737743196,28.1
1.174,1.005,1.005,0.505,0.001,-0.004215684,0.421568438,6.55
1.34,1.005,1.005,0.505,0.001,0.001657984,0.165798445,24
1.506,1.005,1.005,0.505,0.001,-0.000109761,0.010976117,7.55
1.672,1.005,1.005,0.505,0.001,-0.004097522,0.409752235,4.65
1.839,1.005,1.005,0.505,0.001,-0.005236724,0.523672358,4.05
2.005,1.005,1.005,0.505,0.001,0.001386433,0.13864334,19.75
2.171,1.005,1.005,0.505,0.001,0.000674944,0.067494402,9.2
2.338,1.005,1.005,0.505,0.001,0.006949196,0.694919634,18.4
2.504,1.005,1.005,0.505,0.001,-0.001356007,0.135600664,3.65
2.67,1.005,1.005,0.505,0.001,-0.002776217,0.27762173,3.45
2.836,1.005,1.005,0.505,0.001,-0.000857493,0.085749282,3.05
3.002,1.005,1.005,0.505,0.001,-0.001124605,0.112460536,3.3
3.169,1.005,1.005,0.505,0.001,0.000720541,0.072054093,16.9
3.335,1.005,1.005,0.505,0.001,-0.001624862,0.162486211,2.65
3.501,1.005,1.005,0.505,0.001,0.009019795,0.901979479,5.15
3.668,1.005,1.005,0.505,0.001,-0.004337354,0.433735445,2.55
3.834,1.005,1.005,0.505,0.001,-0.00089297,0.089297022,2.35
4,1.005,1.005,0.505,0.001,0.000637069,0.063706914,14.55
2.005,0.01,1.005,0.505,0.001,-0.00319378,0.31937802,3.2
2.005,0.093,1.005,0.505,0.001,0.00105384,0.105383975,20.75
2.005,0.176,1.005,0.505,0.001,0.013875331,1.387533068,17.45
2.005,0.259,1.005,0.505,0.001,0.000889638,0.088963835,22.05
2.005,0.342,1.005,0.505,0.001,0.00297898,0.297898042,4.35
2.005,0.425,1.005,0.505,0.001,-0.001417345,0.141734469,4.75
2.005,0.507,1.005,0.505,0.001,0.003904975,0.390497467,19.5
2.005,0.59,1.005,0.505,0.001,-0.004627601,0.462760055,3.9
2.005,0.673,1.005,0.505,0.001,0.00248715,0.248715042,17.5
2.005,0.756,1.005,0.505,0.001,-0.006494869,0.649486887,5.1
2.005,0.839,1.005,0.505,0.001,0.004188191,0.418819149,17.9
2.005,0.922,1.005,0.505,0.001,-0.005200308,0.520030823,3.95
2.005,1.005,1.005,0.505,0.001,-0.006859255,0.685925502,3.6
2.005,1.088,1.005,0.505,0.001,-0.006843821,0.684382115,3.8
2.005,1.171,1.005,0.505,0.001,0.006427701,0.642770127,18.65
2.005,1.254,1.005,0.505,0.001,0.011013059,1.101305871,15.95
2.005,1.337,1.005,0.505,0.001,0.004739325,0.473932464,20.85
2.005,1.42,1.005,0.505,0.001,-0.013590493,1.359049324,2.45
2.005,1.502,1.005,0.505,0.001,-0.005748214,0.574821385,3.65
2.005,1.585,1.005,0.505,0.001,0.007801682,0.780168199,19
2.005,1.668,1.005,0.505,0.001,0.00088913,0.088912985,8.85
2.005,1.751,1.005,0.505,0.001,0.003349693,0.334969349,17.3
2.005,1.834,1.005,0.505,0.001,0.003994313,0.399431309,8.25
2.005,1.917,1.005,0.505,0.001,-0.008637757,0.863775727,3.3
2.005,2,1.005,0.505,0.001,0.002351088,0.235108839,18
2.005,1.005,0.01,0.505,0.001,-0.000752091,0.075209132,4.4
2.005,1.005,0.093,0.505,0.001,-0.000485413,0.048541278,4.8
2.005,1.005,0.176,0.505,0.001,0.002401793,0.240179285,19.85
2.005,1.005,0.259,0.505,0.001,-0.002765131,0.276513083,3.75
2.005,1.005,0.342,0.505,0.001,0.000333108,0.033310801,19.45
2.005,1.005,0.425,0.505,0.001,0.001250342,0.12503422,8.95
2.005,1.005,0.507,0.505,0.001,0.000884796,0.088479641,19.5
2.005,1.005,0.59,0.505,0.001,-0.001695336,0.1695336,4
